Буквенные символы 
о 457203
е 337652
а 327868
и 267316
н 254008
т 240268
с 208935
л 200851
в 181718
р 175263
к 132215
д 119910
м 117682
у 113707
п 100132
я 84349
ь 81478
г 75034
ы 74788
з 67393
б 65859
ч 61485
й 46092
ж 42656
ш 35882
х 34153
ю 24080
ц 13728
щ 12141
e 10977
э 10902
Н 10348
П 9688
В 7704
О 6733
ф 6703
А 6573
К 5671
s 5424
С 5224
И 5163
n 4957
Д 4919
М 4910
a 4907
i 4742
r 4703
u 4359
o 4337
t 4195
Р 3931
Б 3673
Т 3596
l 3540
m 2652
Я 2280
d 2280
c 2164
Г 1831
Ч 1720
p 1703
Е 1617
Э 1587
ъ 1461
ё 1391
Л 1378
З 1372
v 1310
У 1087
é 1062
h 905
I 882
f 725
q 702
X 692
Ф 683
g 628
b 602
Х 468
V 442
j 378
z 374
Ж 360
à 316
Ш 303
è 290
M 279
L 252
A 215
B 213
x 199
N 197
C 170
ê 158
E 152
y 149
J 138
P 128
S 122
D 96
Ц 94
k 78
ç 69
O 67
R 67
F 56
w 55
Q 54
T 43
â 38
G 36
K 36
î 31
U 31
H 29
ô 28
œ 25
Щ 23
Ю 22
û 21
W 18
Ь 16
ö 12
ü 10
ù 9
ë 7
Z 7
ä 6
Й 4
Ç 3
ï 3
Y 1
Ы 1
ß 1
Ê 1
Небуквенные символы
  810197
, 116275
. 61079

 34430
- 33163
! 8239
? 7248
' 5521
– 5345
; 4423
: 3771
  2149
) 1163
( 1097
1 434
« 363
» 363
2 219
0 174
8 151
— 96
5 92
3 85
́ 76
4 61
	 57
9 53
7 45
„ 44
6 44
“ 43
* 33
< 3
> 3
" 2
= 2
 1
… 1
° 1
Всего символов: 174


Частота встречаемости:


Буквенные символы 
о 0.08729602897323206
е 0.06446956554281086
а 0.06260145805560255
и 0.051039965356763854
н 0.048499003128659984
т 0.04587555700496393
с 0.03989299242026461
л 0.03834947433700705
в 0.03469631606301311
р 0.03346383100271777
к 0.02524446355491079
д 0.022895009075137866
м 0.02246960602101888
у 0.02171063962060463
п 0.019118697762586144
я 0.016105171549318686
ь 0.015556997326528921
г 0.014326612550612081
ы 0.014279642554510972
з 0.012867678647325211
б 0.012574784443995535
ч 0.011739635001124607
й 0.00880057341582232
ж 0.008144520949954806
ш 0.0068511276426828195
х 0.006521001125370557
ю 0.0045977134394906164
ц 0.0026211549043740523
щ 0.0023181411490388526
e 0.0020958928748043395
э 0.0020815727540418063
Н 0.001975794795342562
П 0.0018497777326322712
В 0.0014709628047273964
О 0.0012855649745884684
ф 0.0012798369262834552
А 0.0012550153836283979
К 0.0010827920645910003
s 0.0010356311335463914
С 0.000997444144846303
